year proc cat systematic AllOverOddSF
2016 wzh SL_3 MCScaleLowR9EBUp01sigma 1.9953813678369339
2016 wzh SL_3 MCSmearLowR9EBRhoUp01sigma 2.0698392329789903
2016 wzh SL_3 MCSmearLowR9EBPhiUp01sigma 2.0022023854107727
2016 wzh SL_3 ShowerShapeLowR9EEUp01sigma 1.9905943596825135
2016 wzh SL_3 MCScaleLowR9EEUp01sigma 1.9905931912762989
2016 wzh SL_3 MCSmearLowR9EERhoUp01sigma 1.9905943596825135
2016 wzh SL_3 MCSmearLowR9EEPhiUp01sigma 1.972481017531185
2016 wzh SL_3 MvaShiftDown01sigma 2.0185737284371266
2016 wzh SL_3 SigmaEOverEShiftDown01sigma 1.9905943596825135
2016 wzh SL_3 MaterialCentralBarrelDown01sigma 1.9380176895083554
2016 wzh SL_3 MaterialOuterBarrelDown01sigma 1.996955298542821
2016 wzh SL_3 MaterialForwardDown01sigma 1.9812643457577424
2016 wzh SL_3 FNUFEBDown01sigma 2.003088462157922
2016 wzh SL_3 FNUFEEDown01sigma 2.0650686399176186
2016 wzh SL_3 MCScaleGain6EBDown01sigma 1.9905943596825135
2016 wzh SL_3 MCScaleGain1EBDown01sigma 1.990161069345951
2016 wzh SL_3 JECDown01sigma 2.007343988084054
2016 wzh SL_3 JERDown01sigma 1.9933275657575902
2016 wzh SL_3 PUJIDShiftDown01sigma 1.990332871245611
2016 wzh SL_3 JECAbsoluteDown01sigma 2.006614391152816
2016 wzh SL_3 JECAbsolute2016Down01sigma 1.9900452737170624
2016 wzh SL_3 JECBBEC1Down01sigma 1.9902802850489358
2016 wzh SL_3 JECBBEC12016Down01sigma 1.9904228091177403
2016 wzh SL_3 JECEC2Down01sigma 1.9905815774564082
2016 wzh SL_3 JECEC22016Down01sigma 1.9907044319542984
2016 wzh SL_3 JECFlavorQCDDown01sigma 2.0087021692502973
2016 wzh SL_3 JECHFDown01sigma 1.9905943596825135
2016 wzh SL_3 JECHF2016Down01sigma 1.9905943596825135
2016 wzh SL_3 JECRelativeBalDown01sigma 1.9897632033076738
2016 wzh SL_3 JECRelativeSample2016Down01sigma 1.9912210616177242
2016 wzh SL_3 metJecUncertaintyDown01sigma 1.9905943596825135
2016 wzh SL_3 metJerUncertaintyDown01sigma 2.0152627782253956
2016 wzh SL_3 metPhoUncertaintyDown01sigma 1.9905943596825135
2016 wzh SL_3 metUncUncertaintyDown01sigma 1.9905943596825135
2016 wzh SL_3 ShowerShapeHighR9EBDown01sigma 2.0159118556179614
2016 wzh SL_3 MCScaleHighR9EBDown01sigma 2.0077707674910323
2016 wzh SL_3 MCSmearHighR9EBRhoDown01sigma 1.9905943596825135
2016 wzh SL_3 MCSmearHighR9EBPhiDown01sigma 2.0331875176997283
2016 wzh SL_3 ShowerShapeHighR9EEDown01sigma 2.0608393074233624
2016 wzh SL_3 MCScaleHighR9EEDown01sigma 2.0650955037314063
2016 wzh SL_3 MCSmearHighR9EERhoDown01sigma 1.9905987412303672
2016 wzh SL_3 MCSmearHighR9EEPhiDown01sigma 2.034236516665148
2016 wzh SL_3 ShowerShapeLowR9EBDown01sigma 1.9905943596825135
2016 wzh SL_3 MCScaleLowR9EBDown01sigma 1.9340878025189656
2016 wzh SL_3 MCSmearLowR9EBRhoDown01sigma 1.9905943596825135
2016 wzh SL_3 MCSmearLowR9EBPhiDown01sigma 2.0022023854107727
2016 wzh SL_3 ShowerShapeLowR9EEDown01sigma 1.9543909740638146
2016 wzh SL_3 MCScaleLowR9EEDown01sigma 1.9905943596825135
2016 wzh SL_3 MCSmearLowR9EERhoDown01sigma 1.9905943596825135
2016 wzh SL_3 MCSmearLowR9EEPhiDown01sigma 1.972481017531185
2016 tth SL_0 NOMINAL 1.6969702165236888
2016 tth SL_0 MvaShiftUp01sigma 3.9202813569176453
2016 tth SL_0 SigmaEOverEShiftUp01sigma 2.8893659263545555
2016 tth SL_0 MaterialCentralBarrelUp01sigma 1.5908463430321005
2016 tth SL_0 MaterialOuterBarrelUp01sigma 1.9478261327037878
2016 tth SL_0 MaterialForwardUp01sigma 2.0697070193774505
2016 tth SL_0 FNUFEBUp01sigma 3.285394694895702
2016 tth SL_0 FNUFEEUp01sigma 1.4408254900902404
2016 tth SL_0 MCScaleGain6EBUp01sigma 2.8893659263545555
2016 tth SL_0 MCScaleGain1EBUp01sigma 1.5082338984337123
2016 tth SL_0 JECUp01sigma 4.97627896692817
2016 tth SL_0 JERUp01sigma 1.8109725905782135
2016 tth SL_0 PUJIDShiftUp01sigma 3.174912074912291
2016 tth SL_0 JECAbsoluteUp01sigma 3.982371149775707
2016 tth SL_0 JECAbsolute2016Up01sigma 2.1006355215116397
2016 tth SL_0 JECBBEC1Up01sigma 1.7631944360511365
2016 tth SL_0 JECBBEC12016Up01sigma 2.326325342321133
2016 tth SL_0 JECEC2Up01sigma 2.88852743361246
2016 tth SL_0 JECEC22016Up01sigma 2.911990041329128
2016 tth SL_0 JECFlavorQCDUp01sigma 3.149992918965392
2016 tth SL_0 JECHFUp01sigma 2.8893659263545555
2016 tth SL_0 JECHF2016Up01sigma 2.8893659263545555
2016 tth SL_0 JECRelativeBalUp01sigma 2.0689517574876244
2016 tth SL_0 JECRelativeSample2016Up01sigma 2.554605243080902
2016 tth SL_0 metJecUncertaintyUp01sigma 2.8893659263545555
2016 tth SL_0 metJerUncertaintyUp01sigma 2.8893659263545555
2016 tth SL_0 metPhoUncertaintyUp01sigma 2.8893659263545555
2016 tth SL_0 metUncUncertaintyUp01sigma 2.8893659263545555
2016 tth SL_0 ShowerShapeHighR9EBUp01sigma 1.864243573914794
2016 tth SL_0 MCScaleHighR9EBUp01sigma 2.7079469629093875
2016 tth SL_0 MCSmearHighR9EBRhoUp01sigma 1.6533570947161245
2016 tth SL_0 MCSmearHighR9EBPhiUp01sigma 2.353235276188271
2016 tth SL_0 ShowerShapeHighR9EEUp01sigma 3.2735623473996376
2016 tth SL_0 MCScaleHighR9EEUp01sigma 3.096141874267124
2016 tth SL_0 MCSmearHighR9EERhoUp01sigma 2.8893659263545555
2016 tth SL_0 MCSmearHighR9EEPhiUp01sigma 3.0454318076576246
2016 tth SL_0 ShowerShapeLowR9EBUp01sigma 1.6533570947161245
2016 tth SL_0 MCScaleLowR9EBUp01sigma 2.230361646745862
